"String ID","Source text","Translation","Context","Path","Filename"
"1","P","P","","BETAFLIGHT","p.wav"
"2","I","I","","BETAFLIGHT","i.wav"
"3","D","D","","BETAFLIGHT","d.wav"
"4","D setpoint","consigna D","","BETAFLIGHT","dsetpt.wav"
"5","acro mode","modo acro","","INAV","acromd.wav"
"6","active","activo","","INAV","active.wav"
"7","altitude hold","mantener altitud","","INAV","althld.wav"
"8","angle mode","modo ángulo","","INAV","anglmd.wav"
"9","battery critical","batería crítica","","INAV","batcrt.wav"
"10","Low battery","batería baja","","INAV","batlow.wav"
"11","battery","batería","","INAV","battry.wav"
"12","cruise mode","modo crucero","","INAV","cruzmd.wav"
"13","danger","peligro","","INAV","danger.wav"
"14","engines armed","motores armados","","INAV","engarm.wav"
"15","engines disarmed","motores desarmados","","INAV","engdrm.wav"
"16","failsafe off","failsafe desactivado","","INAV","fsoff.wav"
"17","failsafe on","failsafe activado","","INAV","fson.wav"
"18","good","correcto","","INAV","good.wav"
"19","GPS","GPS","","INAV","gps.wav"
"20","heading hold active","mantener rumbo activado","","INAV","hedhlda.wav"
"21","heading hold","mantener rumbo","","INAV","hedhld.wav"
"22","headfree active","headfree activado","","INAV","hfact.wav"
"23","headfree off","headfree desactivado","","INAV","hfoff.wav"
"24","home reset","home reiniciado","","INAV","homrst.wav"
"25","horizon mode","modo horizonte","","INAV","hrznmd.wav"
"26","lost","perdido","","INAV","lost.wav"
"27","manual mode","modo manual","","INAV","manmd.wav"
"28","normal","normal","","INAV","normal.wav"
"29","off","desactivado","","INAV","off.wav"
"30","on","activado","","INAV","on.wav"
"31","position hold","mantener posición","","INAV","poshld.wav"
"32","ready to fly","listo para volar","","INAV","ready.wav"
"33","return to launch","volver al punto de despegue","","INAV","rtl.wav"
"34","too high","demasiado alto","","INAV","toohgh.wav"
"35","warning","advertencia","","INAV","warnng.wav"
"36","waypoint","waypoint","","INAV","waypt.wav"
"37","Acro flight mode","modo de vuelo acro","","YAAPU","acro.wav"
"38","Acro mode","modo acro","","YAAPU","acro_r.wav"
"39","Altitude","altitud","","YAAPU","alt.wav"
"40","Altitude hold flight mode","modo mantener altitud","","YAAPU","althold.wav"
"41","Motors armed","motores armados","","YAAPU","armed.wav"
"42","Auto flight mode","modo de vuelo automático","","YAAPU","auto.wav"
"43","Auto mode","modo automático","","YAAPU","auto_r.wav"
"44","Auto RTL flight mode","modo automático RTL","","YAAPU","autortl.wav"
"45","Autotune enabled","autotune activado","","YAAPU","autotune.wav"
"46","Avoid A D S B flight mode","modo evitar ADS-B","","YAAPU","avoidadsb.wav"
"47","Battery at 5 percent","batería al 5 por ciento","","YAAPU","bat5.wav"
"48","Battery at 10 percent","batería al 10 por ciento","","YAAPU","bat10.wav"
"49","Battery at 15 percent","batería al 15 por ciento","","YAAPU","bat15.wav"
"50","Battery at 20 percent","batería al 20 por ciento","","YAAPU","bat20.wav"
"51","Battery at 25 percent","batería al 25 por ciento","","YAAPU","bat25.wav"
"52","Battery at 30 percent","batería al 30 por ciento","","YAAPU","bat30.wav"
"53","Battery at 40 percent","batería al 40 por ciento","","YAAPU","bat40.wav"
"54","Battery at 50 percent","batería al 50 por ciento","","YAAPU","bat50.wav"
"55","Battery at 60 percent","batería al 60 por ciento","","YAAPU","bat60.wav"
"56","Battery at 70 percent","batería al 70 por ciento","","YAAPU","bat70.wav"
"57","Battery at 80 percent","batería al 80 por ciento","","YAAPU","bat80.wav"
"58","Battery at 90 percent","batería al 90 por ciento","","YAAPU","bat90.wav"
"59","Battery alert","alerta de batería","","YAAPU","batalert.wav"
"60","Battery level 1 alert","alerta batería nivel 1","","YAAPU","batalert1.wav"
"61","Battery level 2 alert","alerta batería nivel 2","","YAAPU","batalert2.wav"
"62","Brake flight mode","modo de vuelo freno","","YAAPU","brake.wav"
"63","Circle flight mode","modo de vuelo círculo","","YAAPU","circle.wav"
"64","Cruise flight mode","modo de vuelo crucero","","YAAPU","cruise.wav"
"65","Motors disarmed","motores desarmados","","YAAPU","disarmed.wav"
"66","Distance","distancia","","YAAPU","dist.wav"
"67","Drift flight mode","modo de vuelo drift","","YAAPU","drift.wav"
"68","E K F failsafe","failsafe EKF","","YAAPU","ekf.wav"
"69","failsafe","failsafe","","YAAPU","failsafe.wav"
"70","fence enabled","geocerca activada","","YAAPU","fence.wav"
"71","fence breach","geocerca saltada","","YAAPU","fencebreach.wav"
"72","Flip flight mode","modo de vuelo flip","","YAAPU","flip.wav"
"73","flow position hold flight mode","modo mantener posición por flujo óptico","","YAAPU","flowhold.wav"
"74","Fly by wire a flight mode","modo Fly by Wire A","","YAAPU","flybywirea.wav"
"75","Fly by wire b flight mode","modo Fly by Wire B","","YAAPU","flybywireb.wav"
"76","follow flight mode","modo de vuelo follow","","YAAPU","follow.wav"
"77","follow mode","modo follow","","YAAPU","follow_r.wav"
"78","GPS 3D fix lock","GPS con fix 3D","","YAAPU","gpsfix.wav"
"79","No gps","sin GPS","","YAAPU","gpsnofix.wav"
"80","Guided flight mode","modo de vuelo guiado","","YAAPU","guided.wav"
"81","Guided mode","modo guiado","","YAAPU","guided_r.wav"
"82","Guided no gps flight mode","modo guiado sin GPS","","YAAPU","guidednogps.wav"
"83","Hold mode","modo hold","","YAAPU","hold_r.wav"
"84","Initialising","inicializando","","YAAPU","initializing.wav"
"85","Initialising","inicializando","","YAAPU","initializing_r.wav"
"86","Land flight mode","modo de vuelo aterrizaje","","YAAPU","land.wav"
"87","Landing complete","aterrizaje completado","","YAAPU","landing.wav"
"88","Loiter flight mode","modo de vuelo loiter","","YAAPU","loiter.wav"
"89","Loiter mode","modo loiter","","YAAPU","loiter_r.wav"
"90","Low battery","batería baja","","YAAPU","lowbat.wav"
"91","Manual flight mode","modo de vuelo manual","","YAAPU","manual.wav"
"92","Manual mode","modo manual","","YAAPU","manual_r.wav"
"93","Max altitude alert","alerta altitud máxima","","YAAPU","maxalt.wav"
"94","Max distance alert","alerta distancia máxima","","YAAPU","maxdist.wav"
"95","Low altitude alert","alerta altitud mínima","","YAAPU","minalt.wav"
"96","Position hold flight mode","modo mantener posición","","YAAPU","poshold.wav"
"97","Q acro flight mode","modo Q acro","","YAAPU","qacro.wav"
"98","Q autotune flight mode","modo Q autotune","","YAAPU","qautotune.wav"
"99","Q hover flight mode","modo Q jover","","YAAPU","qhover.wav"
"100","Q land flight mode","modo Q land","","YAAPU","qland.wav"
"101","Q loiter flight mode","modo Q loiter","","YAAPU","qloiter.wav"
"102","Q return to home flight mode","modo Q volver a casa","","YAAPU","qrtl.wav"
"103","Q stabilise flight mode","modo Q estabilizado","","YAAPU","qstabilize.wav"
"104","Return to home","volver a casa","","YAAPU","rtl.wav"
"105","Return to home mode","modo volver a casa","","YAAPU","rtl_r.wav"
"106","simple mode","modo simple","","YAAPU","simple_r.wav"
"107","simple mode disabled","modo simple desactivado","","YAAPU","simpleoff.wav"
"108","simple mode enabled","modo simple activado","","YAAPU","simpleon.wav"
"109","Smart return to home flight mode","modo Smart RTL","","YAAPU","smartrtl.wav"
"110","Smart return to home mode","modo Smart RTL","","YAAPU","smartrtl_r.wav"
"111","Sport flight mode","modo de vuelo sport","","YAAPU","sport.wav"
"112","super simple mode disabled","modo super simple desactivado","","YAAPU","ssimpleoff.wav"
"113","super simple mode enabled","modo super simple activado","","YAAPU","ssimpleon.wav"
"114","Stabilise flight mode","modo de vuelo estabilizado","","YAAPU","stabilize.wav"
"115","Steering mode","modo dirección","","YAAPU","steering_r.wav"
"116","no terrain data","sin datos de terreno","","YAAPU","terrainko.wav"
"117","Thermal flight mode","modo de vuelo térmica","","YAAPU","thermal.wav"
"118","Throw flight mode","modo de vuelo lanzamiento","","YAAPU","throw.wav"
"119","Timer alert","alerta de temporizador","","YAAPU","timealert.wav"
"120","Training flight mode","modo de vuelo entrenamiento","","YAAPU","training.wav"
"121","turtle mode","modo tortuga","","YAAPU","turtle.wav"
"122","Zigzag flight mode","modo de vuelo zigzag","","YAAPU","zigzag.wav"
"123","takeoff flight mode","modo de vuelo despegue","","YAAPU","takeofffm.wav"
"124","System I D flight mode","modo System ID","","YAAPU","systemid.wav"
"125","autorotate flight mode","modo autorrotación","","YAAPU","autorotate.wav"
"126","velocity flight mode","modo de vuelo velocidad","","YAAPU","velocity.wav"
"127","Yaa-pu telemetry ready","telemetría Yaa-pu lista","","YAAPU","yaapu.wav"
"128","Altitude control mode","modo control de altitud","PX4","YAAPU","altctl.wav"
"129","Position control mode","modo control de posición","PX4","YAAPU","posctl.wav"
"130","ready","listo","PX4","YAAPU","ready.wav"
"131","Auto takeoff mode","modo despegue automático","PX4","YAAPU","takeoff.wav"
"132","Auto mission mode","modo misión automática","PX4","YAAPU","mission.wav"
"133","link loss failsafe mode","modo failsafe por pérdida de enlace","PX4","YAAPU","rtgs.wav"
"134","Precision landing mode","modo aterrizaje de precisión","PX4","YAAPU","precland.wav"
"135","Offboard mode","modo offboard","PX4","YAAPU","offboard.wav"
"136","rate attitude mode","modo rate attitude","PX4","YAAPU","rattitude.wav"
"137","simple mode","modo simple","PX4","YAAPU","simple.wav"
"138","PreArming: Need 3D Fix","Prearmado: necesita fix 3D","Msg-Hash","YAAPU","264977348.wav"
"139","Smart RTL Unavailable","Smart RTL no disponible","Msg-Hash","YAAPU","1834616480.wav"
"140","EKF variance","varianza EKF","Msg-Hash","YAAPU","2386213680.wav"
"141","GPS Glitch cleared","error GPS corregido","Msg-Hash","YAAPU","2310179660.wav"
"142","GPS Glitch","error GPS","Msg-Hash","YAAPU","4137200300.wav"
"143","Parachute: Released","paracaídas liberado","Msg-Hash","YAAPU","2664106240.wav"
"144","Flight plan received","plan de vuelo recibido","Msg-Hash","YAAPU","656739232.wav"
"145","Mission complete","misión completada","Msg-Hash","YAAPU","3708582640.wav"
"146","Geofence triggered","geocerca activada","Msg-Hash","YAAPU","1809087708.wav"
"147","Flight mode change failed","cambio de modo de vuelo fallido","Msg-Hash","YAAPU","116655276.wav"
"148","AutoTune: Success","AutoTune correcto","Msg-Hash","YAAPU","1008001424.wav"
"149","AutoTune: Failed","AutoTune fallido","Msg-Hash","YAAPU","1396289024.wav"
"150","Transition done","transición completada","Msg-Hash","YAAPU","986165592.wav"
"151","Transition started","transición iniciada","Msg-Hash","YAAPU","1249672288.wav"
"152","Transition done","transición completada","Msg-Hash","YAAPU","4019153925.wav"
"153","Transition VTOL done","transición VTOL completada","Msg-Hash","YAAPU","3417557720.wav"
"154","Land descend started","descenso de aterrizaje iniciado","Msg-Hash","YAAPU","1204090832.wav"
"155","Land final started","aproximación final iniciada","Msg-Hash","YAAPU","2890289840.wav"
"156","Soaring: Outside max radius","Soaring: fuera del radio máximo","Msg-Hash","YAAPU","1883944664.wav"
"157","Soaring: Disabled.","Soaring: desactivado","Msg-Hash","YAAPU","4175833240.wav"
