path;filename;word or phrase to speak
SYSTEM;0000.wav;0
SYSTEM;0001.wav;1
SYSTEM;0002.wav;2
SYSTEM;0003.wav;3
SYSTEM;0004.wav;4
SYSTEM;0005.wav;5
SYSTEM;0006.wav;6
SYSTEM;0007.wav;7
SYSTEM;0008.wav;8
SYSTEM;0009.wav;9
SYSTEM;0010.wav;10
SYSTEM;0011.wav;11
SYSTEM;0012.wav;12
SYSTEM;0013.wav;13
SYSTEM;0014.wav;14
SYSTEM;0015.wav;15
SYSTEM;0016.wav;16
SYSTEM;0017.wav;17
SYSTEM;0018.wav;18
SYSTEM;0019.wav;19
SYSTEM;0020.wav;20
SYSTEM;0021.wav;21
SYSTEM;0022.wav;22
SYSTEM;0023.wav;23
SYSTEM;0024.wav;24
SYSTEM;0025.wav;25
SYSTEM;0026.wav;26
SYSTEM;0027.wav;27
SYSTEM;0028.wav;28
SYSTEM;0029.wav;29
SYSTEM;0030.wav;30
SYSTEM;0031.wav;31
SYSTEM;0032.wav;32
SYSTEM;0033.wav;33
SYSTEM;0034.wav;34
SYSTEM;0035.wav;35
SYSTEM;0036.wav;36
SYSTEM;0037.wav;37
SYSTEM;0038.wav;38
SYSTEM;0039.wav;39
SYSTEM;0040.wav;40
SYSTEM;0041.wav;41
SYSTEM;0042.wav;42
SYSTEM;0043.wav;43
SYSTEM;0044.wav;44
SYSTEM;0045.wav;45
SYSTEM;0046.wav;46
SYSTEM;0047.wav;47
SYSTEM;0048.wav;48
SYSTEM;0049.wav;49
SYSTEM;0050.wav;50
SYSTEM;0051.wav;51
SYSTEM;0052.wav;52
SYSTEM;0053.wav;53
SYSTEM;0054.wav;54
SYSTEM;0055.wav;55
SYSTEM;0056.wav;56
SYSTEM;0057.wav;57
SYSTEM;0058.wav;58
SYSTEM;0059.wav;59
SYSTEM;0060.wav;60
SYSTEM;0061.wav;61
SYSTEM;0062.wav;62
SYSTEM;0063.wav;63
SYSTEM;0064.wav;64
SYSTEM;0065.wav;65
SYSTEM;0066.wav;66
SYSTEM;0067.wav;67
SYSTEM;0068.wav;68
SYSTEM;0069.wav;69
SYSTEM;0070.wav;70
SYSTEM;0071.wav;71
SYSTEM;0072.wav;72
SYSTEM;0073.wav;73
SYSTEM;0074.wav;74
SYSTEM;0075.wav;75
SYSTEM;0076.wav;76
SYSTEM;0077.wav;77
SYSTEM;0078.wav;78
SYSTEM;0079.wav;79
SYSTEM;0080.wav;80
SYSTEM;0081.wav;81
SYSTEM;0082.wav;82
SYSTEM;0083.wav;83
SYSTEM;0084.wav;84
SYSTEM;0085.wav;85
SYSTEM;0086.wav;86
SYSTEM;0087.wav;87
SYSTEM;0088.wav;88
SYSTEM;0089.wav;89
SYSTEM;0090.wav;90
SYSTEM;0091.wav;91
SYSTEM;0092.wav;92
SYSTEM;0093.wav;93
SYSTEM;0094.wav;94
SYSTEM;0095.wav;95
SYSTEM;0096.wav;96
SYSTEM;0097.wav;97
SYSTEM;0098.wav;98
SYSTEM;0099.wav;99
SYSTEM;0100.wav;100
SYSTEM;0101.wav;200
SYSTEM;0102.wav;300
SYSTEM;0103.wav;400
SYSTEM;0104.wav;500
SYSTEM;0105.wav;600
SYSTEM;0106.wav;700
SYSTEM;0107.wav;800
SYSTEM;0108.wav;900
SYSTEM;0109.wav;1000
SYSTEM;0110.wav;une
SYSTEM;0111.wav;onze
SYSTEM;0112.wav;vingt et une
SYSTEM;0113.wav;trente et une
SYSTEM;0114.wav;quarante et une
SYSTEM;0115.wav;cinquante et une
SYSTEM;0116.wav;soixante et une
SYSTEM;0117.wav;soixante et onze
SYSTEM;0118.wav;quatre vingt une
SYSTEM;0119.wav;virgule
SYSTEM;0120.wav;et
SYSTEM;0121.wav;moins
SYSTEM;0122.wav;minuit
SYSTEM;0123.wav;midi
SYSTEM;volt0.wav;volts
SYSTEM;amp0.wav;ampères
SYSTEM;mamp0.wav;milli ampères
SYSTEM;knot0.wav;noeud
SYSTEM;mps0.wav;mètres seconde
SYSTEM;fps0.wav;pieds par seconde
SYSTEM;kph0.wav;kilomètre heure
SYSTEM;mph0.wav;miles par heure
SYSTEM;meter0.wav;mètres
SYSTEM;foot0.wav;pieds
SYSTEM;celsius0.wav;degrés
SYSTEM;degf0.wav;degrés fahrenheit
SYSTEM;percent0.wav;pourcents
SYSTEM;mamph0.wav;milli ampères heure
SYSTEM;watt0.wav;watt
SYSTEM;mwatt0.wav;milli watt
SYSTEM;db0.wav;d b
SYSTEM;rpm0.wav;tours minute
SYSTEM;g0.wav;g
SYSTEM;degree0.wav;degrés
SYSTEM;rad0.wav;radians
SYSTEM;ml0.wav;millilitres
SYSTEM;founce0.wav;onces
SYSTEM;mlpm0.wav;millilitre minute
SYSTEM;hour0.wav;heure
SYSTEM;minute0.wav;minute
SYSTEM;second0.wav;seconde
SYSTEM;0180.wav;virgule 0
SYSTEM;0181.wav;virgule 1
SYSTEM;0182.wav;virgule 2
SYSTEM;0183.wav;virgule 3
SYSTEM;0184.wav;virgule 4
SYSTEM;0185.wav;virgule 5
SYSTEM;0186.wav;virgule 6
SYSTEM;0187.wav;virgule 7
SYSTEM;0188.wav;virgule 8
SYSTEM;0189.wav;virgule 9
SYSTEM;midtrim.wav;Trim centré
SYSTEM;maxtrim.wav;Trim maximum atteint
SYSTEM;mintrim.wav;Trim minimum atteint
SYSTEM;timovr1.wav;Chrono 1 à 0
SYSTEM;timovr2.wav;Chrono 2 à 0
SYSTEM;timovr3.wav;Chrono 3 à 0
SYSTEM;lowbatt.wav;Batterie radio faible
SYSTEM;inactiv.wav;Radio inactive
SYSTEM;thralert.wav;Alerte manche des gaz
SYSTEM;swalert.wav;Alerte inters
SYSTEM;eebad.wav;éprome corrompue
SYSTEM;hello.wav;Bienvenue sur edge t x
SYSTEM;rssi_org.wav;Signal RF, faible
SYSTEM;rssi_red.wav;Signal RF, critique
SYSTEM;swr_red.wav;Antenne défectueuse
SYSTEM;telemko.wav;Télémétrie perdue
SYSTEM;telemok.wav;Télémétrie retrouvée
SYSTEM;trainko.wav;Signal écolage perdu
SYSTEM;trainok.wav;Signal écolage retrouvé
SYSTEM;sensorko.wav;Sonde de télémétrie perdue
SYSTEM;servoko.wav;Servo en surcharge
SYSTEM;rxko.wav;Surcharge réception
SYSTEM;modelpwr.wav;Récepteur encore sous tension
;armed.wav;armé
;disarm.wav;désarmé
;alt.wav;altitude
;moteur.wav;température moteur
;tctrl.wav;température contrôleur
;gearup.wav;train rentré
;geardn.wav;train sorti
;flapup.wav;volets rentrés
;flapdn.wav;volets sortis
;attero.wav;atterrissage
;trnon.wav;écolage
;trnoff.wav;fin écolage
;engoff.wav;moteur coupé
;spdmod.wav;high. speed. mode, active
;thmmod.wav;thermal. mode, on
