"String ID","Source text","Translation","Context","Path","Filename"
"5","acro mode","Modalità Acro.","","INAV","acromd.wav"
"6","active","Attivo!","","INAV","active.wav"
"7","altitude hold","Blocco altitudine.","","INAV","althld.wav"
"8","angle mode","Modalità stabilizzata.","","INAV","anglmd.wav"
"9","battery critical","Batteria critica!","","INAV","batcrt.wav"
"10","Low battery","Batteria scarica!","","INAV","batlow.wav"
"11","battery","BATTERIA","","INAV","battry.wav"
"12","cruise mode","Modalità crociera.","","INAV","cruzmd.wav"
"13","danger","Pericolo!","","INAV","danger.wav"
"14","engines armed","Motori ATTIVI!","","INAV","engarm.wav"
"15","engines disarmed","Motori spenti","","INAV","engdrm.wav"
"16","failsafe off","Failsafe spento.","","INAV","fsoff.wav"
"17","failsafe on","Failsafe attivo.","","INAV","fson.wav"
"18","good","Buono","","INAV","good.wav"
"19","GPS","GPS","","INAV","gps.wav"
"20","heading hold","Mantenimento rotta","","INAV","hedhld.wav"
"21","heading hold active","Mantenimento rotta attivo.","","INAV","hedhlda.wav"
"22","headfree active","Movimento testa attivo.","","INAV","hfact.wav"
"23","headfree off","Movimento testa spento.","","INAV","hfoff.wav"
"24","home reset","Reset punto di lancio.","","INAV","homrst.wav"
"25","horizon mode","Modalità orizzonte stabilizzato.","","INAV","hrznmd.wav"
"26","lost","Persa","","INAV","lost.wav"
"27","manual mode","Modalità manuale.","","INAV","manmd.wav"
"28","normal","Normale","","INAV","normal.wav"
"29","off","off","","INAV","off.wav"
"30","on","on","","INAV","on.wav"
"31","position hold","Mantieni posizione.","","INAV","poshld.wav"
"32","ready to fly","Pronto al volo.","","INAV","ready.wav"
"33","return to launch","Ritorno al LUOGO di lancio.","","INAV","rtl.wav"
"34","too high","Troppo alto.","","INAV","toohgh.wav"
"35","warning","Attenzione!","","INAV","warnng.wav"
"36","waypoint","Waypoint","","INAV","waypt.wav"
