"String ID","Source text","Translation","Context","Path","Filename"
"1","P","P","","BETAFLIGHT","p.wav"
"2","I","I","","BETAFLIGHT","i.wav"
"3","D","D","","BETAFLIGHT","d.wav"
"4","D setpoint","D、セットポイント","","BETAFLIGHT","dsetpt.wav"
"5","acro mode","アクロモード","","INAV","acromd.wav"
"6","active","有効","","INAV","active.wav"
"7","altitude hold","高度ホールド","","INAV","althld.wav"
"8","angle mode","アングルモード","","INAV","anglmd.wav"
"9","battery critical","緊急バッテリー問題","","INAV","batcrt.wav"
"10","Low battery","バッテリー低下","","INAV","batlow.wav"
"11","battery","バッテリー","","INAV","battry.wav"
"12","cruise mode","クルーズモード","","INAV","cruzmd.wav"
"13","danger","危険！","","INAV","danger.wav"
"14","engines armed","エンジン、点火","","INAV","engarm.wav"
"15","engines disarmed","エンジン、停止","","INAV","engdrm.wav"
"16","failsafe off","フェイルセーフ、オフ","","INAV","fsoff.wav"
"17","failsafe on","フェイルセーフ、オン","","INAV","fson.wav"
"18","good","良好","","INAV","good.wav"
"19","GPS","GPS","","INAV","gps.wav"
"20","heading hold active","ヘッディングホールド、有効","","INAV","hedhlda.wav"
"21","heading hold","ヘッディングホールド","","INAV","hedhld.wav"
"22","headfree active","ヘッドフリー、有効","","INAV","hfact.wav"
"23","headfree off","ヘッドフリー、無効","","INAV","hfoff.wav"
"24","home reset","ホームリセット","","INAV","homrst.wav"
"25","horizon mode","ホライゾンモード","","INAV","hrznmd.wav"
"26","lost","ロスト","","INAV","lost.wav"
"27","manual mode","マニュアルモード","","INAV","manmd.wav"
"28","normal","ノーマル","","INAV","normal.wav"
"29","off","オフ","","INAV","off.wav"
"30","on","ON","","INAV","on.wav"
"31","position hold","ポジションホールド","","INAV","poshld.wav"
"32","ready to fly","レディートゥーフライ","","INAV","ready.wav"
"33","return to launch","リターントゥーローンチ","","INAV","rtl.wav"
"34","too high","もっと高く！","","INAV","toohgh.wav"
"35","warning","警告！","","INAV","warnng.wav"
"36","waypoint","ウェイポイント","","INAV","waypt.wav"
"37","Acro flight mode","アクロ飛行モード","","YAAPU","acro.wav"
"38","Acro mode","アクロモード","","YAAPU","acro_r.wav"
"39","Altitude","高度","","YAAPU","alt.wav"
"40","Altitude hold flight mode","高度ホールド飛行モード","","YAAPU","althold.wav"
"41","Motors armed","モーター、アーム","","YAAPU","armed.wav"
"42","Auto flight mode","自動飛行モード","","YAAPU","auto.wav"
"43","Auto mode","自動飛行モード","","YAAPU","auto_r.wav"
"44","Auto RTL flight mode","オートRTL飛行モード","","YAAPU","autortl.wav"
"45","Autotune enabled","自動チューニング、有効","","YAAPU","autotune.wav"
"46","Avoid A D S B flight mode","A D S B 飛行モード、回避","","YAAPU","avoidadsb.wav"
"47","Battery at 5 percent","バッテリー、5%","","YAAPU","bat5.wav"
"48","Battery at 10 percent","バッテリー、10%","","YAAPU","bat10.wav"
"49","Battery at 15 percent","バッテリー、15%","","YAAPU","bat15.wav"
"50","Battery at 20 percent","バッテリー、20%","","YAAPU","bat20.wav"
"51","Battery at 25 percent","バッテリー、25%","","YAAPU","bat25.wav"
"52","Battery at 30 percent","バッテリー、30%","","YAAPU","bat30.wav"
"53","Battery at 40 percent","バッテリー、40%","","YAAPU","bat40.wav"
"54","Battery at 50 percent","バッテリー、50%","","YAAPU","bat50.wav"
"55","Battery at 60 percent","バッテリー、60%","","YAAPU","bat60.wav"
"56","Battery at 70 percent","バッテリー、70%","","YAAPU","bat70.wav"
"57","Battery at 80 percent","バッテリー、80%","","YAAPU","bat80.wav"
"58","Battery at 90 percent","バッテリー、90%","","YAAPU","bat90.wav"
"59","Battery alert","バッテリー警告","","YAAPU","batalert.wav"
"60","Battery level 1 alert","バッテリー警告、レベル 1","","YAAPU","batalert1.wav"
"61","Battery level 2 alert","バッテリー警告、レベル 2","","YAAPU","batalert2.wav"
"62","Brake flight mode","ブレーキ飛行モード","","YAAPU","brake.wav"
"63","Circle flight mode","サークル飛行モード","","YAAPU","circle.wav"
"64","Cruise flight mode","クルーズ飛行モード","","YAAPU","cruise.wav"
"65","Motors disarmed","モーター、ディスアーム","","YAAPU","disarmed.wav"
"66","Distance","距離","","YAAPU","dist.wav"
"67","Drift flight mode","ドリフト飛行モード","","YAAPU","drift.wav"
"68","E K F failsafe","E K F フェイルセーフ","","YAAPU","ekf.wav"
"69","failsafe","フェイルセーフ","","YAAPU","failsafe.wav"
"70","fence enabled","フェンス、有効","","YAAPU","fence.wav"
"71","fence breach","フェンス、破断","","YAAPU","fencebreach.wav"
"72","Flip flight mode","フリップ飛行モード","","YAAPU","flip.wav"
"73","flow position hold flight mode","フローポジションホールド、飛行モード","","YAAPU","flowhold.wav"
"74","Fly by wire a flight mode","フライバイワイヤー - A - 飛行モード","","YAAPU","flybywirea.wav"
"75","Fly by wire b flight mode","フライバイワイヤー - B - 飛行モード","","YAAPU","flybywireb.wav"
"76","follow flight mode","追跡飛行モード","","YAAPU","follow.wav"
"77","follow mode","追跡モード","","YAAPU","follow_r.wav"
"78","GPS 3D fix lock","GPS、スリーディ修正ロック","","YAAPU","gpsfix.wav"
"79","No gps","GPSなし","","YAAPU","gpsnofix.wav"
"80","Guided flight mode","ガイド飛行モード","","YAAPU","guided.wav"
"81","Guided mode","ガイドモード","","YAAPU","guided_r.wav"
"82","Guided no gps flight mode","GPSなし、ガイド飛行モード","","YAAPU","guidednogps.wav"
"83","Hold mode","ホールドモード","","YAAPU","hold_r.wav"
"84","Initializing","初期化します","","YAAPU","initializing.wav"
"85","Initializing","初期化しています","","YAAPU","initializing_r.wav"
"86","Land flight mode","着陸飛行モード","","YAAPU","land.wav"
"87","Landing complete","着陸成功","","YAAPU","landing.wav"
"88","Loiter flight mode","ロイター飛行モード","","YAAPU","loiter.wav"
"89","Loiter mode","ロイターモード","","YAAPU","loiter_r.wav"
"90","Low battery","バッテリー、低下","","YAAPU","lowbat.wav"
"91","Manual flight mode","マニュアル飛行モード","","YAAPU","manual.wav"
"92","Manual mode","マニュアルモード","","YAAPU","manual_r.wav"
"93","Max altitude alert","高度限界警告","","YAAPU","maxalt.wav"
"94","Max distance alert","距離限界警告","","YAAPU","maxdist.wav"
"95","Low altitude alert","低空高度警告","","YAAPU","minalt.wav"
"96","Position hold flight mode","ポジションホールド飛行モード","","YAAPU","poshold.wav"
"97","Q acro flight mode","Q、アクロ飛行モード","","YAAPU","qacro.wav"
"98","Q autotune flight mode","Q、自動チューニング飛行モード","","YAAPU","qautotune.wav"
"99","Q hover flight mode","Q、ホバー飛行モード","","YAAPU","qhover.wav"
"100","Q land flight mode","Q、着陸飛行モード","","YAAPU","qland.wav"
"101","Q loiter flight mode","Q、ロイター飛行モード","","YAAPU","qloiter.wav"
"102","Q return to home flight mode","Q、リターントゥホーム飛行モード","","YAAPU","qrtl.wav"
"103","Q stabilize flight mode","Q スタビライズ飛行モード","","YAAPU","qstabilize.wav"
"104","Return to home","リターントゥホーム","","YAAPU","rtl.wav"
"105","Return to home mode","リターントゥホームモード","","YAAPU","rtl_r.wav"
"106","simple mode","シンプルモード","","YAAPU","simple_r.wav"
"107","simple mode disabled","シンプルモード、無効","","YAAPU","simpleoff.wav"
"108","simple mode enabled","シンプルモード、有効","","YAAPU","simpleon.wav"
"109","Smart return to home flight mode","スマートリターントゥホーム飛行モード","","YAAPU","smartrtl.wav"
"110","Smart return to home mode","スマートリターントゥホームモード","","YAAPU","smartrtl_r.wav"
"111","Sport flight mode","スポーツ飛行モード","","YAAPU","sport.wav"
"112","super simple mode disabled","スーパーシンプルモード、無効","","YAAPU","ssimpleoff.wav"
"113","super simple mode enabled","スーパーシンプルモード、有効","","YAAPU","ssimpleon.wav"
"114","Stabilize flight mode","スタビライズ飛行モード","","YAAPU","stabilize.wav"
"115","Steering mode","ステアリングモード","","YAAPU","steering_r.wav"
"116","no terrain data","地形データなし","","YAAPU","terrainko.wav"
"117","Thermal flight mode","サーマル飛行モード","","YAAPU","thermal.wav"
"118","Throw flight mode","スローイング飛行モード","","YAAPU","throw.wav"
"119","Timer alert","タイマー警告","","YAAPU","timealert.wav"
"120","Training flight mode","トレーニング飛行モード","","YAAPU","training.wav"
"121","turtle mode","タートルモード","","YAAPU","turtle.wav"
"122","Zigzag flight mode","ジグザグ飛行モード","","YAAPU","zigzag.wav"
"123","takeoff flight mode","離陸飛行モード","","YAAPU","takeofffm.wav"
"124","System I D flight mode","システムID飛行モード","","YAAPU","systemid.wav"
"125","autorotate flight mode","自動操縦飛行モード","","YAAPU","autorotate.wav"
"126","velocity flight mode","ヴェロシティ飛行モード","","YAAPU","velocity.wav"
"127","Yaa-pu telemetry ready","やーぷ、テレメトリー準備","","YAAPU","yaapu.wav"
"128","Altitude control mode","高度コントロールモード","PX4","YAAPU","altctl.wav"
"129","Position control mode","ポジションコントロールモード","PX4","YAAPU","posctl.wav"
"130","ready","レディ","PX4","YAAPU","ready.wav"
"131","Auto takeoff mode","自動離陸モード","PX4","YAAPU","takeoff.wav"
"132","Auto mission mode","自動ミッションモード","PX4","YAAPU","mission.wav"
"133","link loss failsafe mode","RX ロス フェイルセーフモード","PX4","YAAPU","rtgs.wav"
"134","Precision landing mode","高精度 着陸モード","PX4","YAAPU","precland.wav"
"135","Offboard mode","オフボードモード","PX4","YAAPU","offboard.wav"
"136","rate attitude mode","レートアティチュードモード","PX4","YAAPU","rattitude.wav"
"137","simple mode","シンプルモード","PX4","YAAPU","simple.wav"
"138","PreArming: Need 3D Fix","プレアーミング、スリーディ修正が必要です","Msg-Hash","YAAPU","264977348.wav"
"139","Smart RTL Unavailable","スマート RTL は利用できません","Msg-Hash","YAAPU","1834616480.wav"
"140","EKF variance","E K F 分散","Msg-Hash","YAAPU","2386213680.wav"
"141","GPS Glitch cleared","GPS 不具合、解消","Msg-Hash","YAAPU","2310179660.wav"
"142","GPS Glitch","GPS 不具合","Msg-Hash","YAAPU","4137200300.wav"
"143","Parachute: Released","パラシュート、投下","Msg-Hash","YAAPU","2664106240.wav"
"144","Flight plan received","飛行プラン、受信","Msg-Hash","YAAPU","656739232.wav"
"145","Mission complete","ミッション コンプリート","Msg-Hash","YAAPU","3708582640.wav"
"146","Geofence triggered","ジオフェンス、発動","Msg-Hash","YAAPU","1809087708.wav"
"147","Flight mode change failed","フライトモードの変更に失敗しました","Msg-Hash","YAAPU","116655276.wav"
"148","AutoTune: Success","自動チューニング、成功","Msg-Hash","YAAPU","1008001424.wav"
"149","AutoTune: Failed","自動チューニング、失敗","Msg-Hash","YAAPU","1396289024.wav"
"150","Transition done","トランジション、完了","Msg-Hash","YAAPU","986165592.wav"
"151","Transition started","トランジション、開始","Msg-Hash","YAAPU","1249672288.wav"
"152","Transition done","トランジション、完了","Msg-Hash","YAAPU","4019153925.wav"
