"String ID","Source text","Translation","Context","Path","Filename"
"String ID","Source text","Translation","Context","Path","Filename","Skip"
"1","0","zero","","SYSTEM","0000.wav",""
"2","1","jeden","","SYSTEM","0001.wav",""
"3","2","dwa","","SYSTEM","0002.wav",""
"4","3","trzy","","SYSTEM","0003.wav",""
"5","4","cztery","","SYSTEM","0004.wav",""
"6","5","pięć","","SYSTEM","0005.wav",""
"7","6","sześć","","SYSTEM","0006.wav",""
"8","7","siedem","","SYSTEM","0007.wav",""
"9","8","osiem","","SYSTEM","0008.wav",""
"10","9","dziewięć","","SYSTEM","0009.wav",""
"11","10","dziesięć","","SYSTEM","0010.wav",""
"12","11","jedenaście","","SYSTEM","0011.wav",""
"13","12","dwanaście","","SYSTEM","0012.wav",""
"14","13","trzynaście","","SYSTEM","0013.wav",""
"15","14","czternaście","","SYSTEM","0014.wav",""
"16","15","piętnaście","","SYSTEM","0015.wav",""
"17","16","szesnaście","","SYSTEM","0016.wav",""
"18","17","siedemnaście","","SYSTEM","0017.wav",""
"19","18","osiemnaście","","SYSTEM","0018.wav",""
"20","19","dziewiętnaście","","SYSTEM","0019.wav",""
"21","20","dwadzieścia","","SYSTEM","0020.wav",""
"22","21","dwadzieścia jeden","","SYSTEM","0021.wav",""
"23","22","dwadzieścia dwa","","SYSTEM","0022.wav",""
"24","23","dwadzieścia trzy","","SYSTEM","0023.wav",""
"25","24","dwadzieścia cztery","","SYSTEM","0024.wav",""
"26","25","dwadzieścia pięć","","SYSTEM","0025.wav",""
"27","26","dwadzieścia sześć","","SYSTEM","0026.wav",""
"28","27","dwadzieścia siedem","","SYSTEM","0027.wav",""
"29","28","dwadzieścia osiem","","SYSTEM","0028.wav",""
"30","29","dwadzieścia dziewięć","","SYSTEM","0029.wav",""
"31","30","trzydzieści","","SYSTEM","0030.wav",""
"32","31","trzydzieści jeden","","SYSTEM","0031.wav",""
"33","32","trzydzieści dwa","","SYSTEM","0032.wav",""
"34","33","trzydzieści trzy","","SYSTEM","0033.wav",""
"35","34","trzydzieści cztery","","SYSTEM","0034.wav",""
"36","35","trzydzieści pięć","","SYSTEM","0035.wav",""
"37","36","trzydzieści sześć","","SYSTEM","0036.wav",""
"38","37","trzydzieści siedem","","SYSTEM","0037.wav",""
"39","38","trzydzieści osiem","","SYSTEM","0038.wav",""
"40","39","trzydzieści dziewięć","","SYSTEM","0039.wav",""
"41","40","czterdzieści","","SYSTEM","0040.wav",""
"42","41","czterdzieści jeden","","SYSTEM","0041.wav",""
