"String ID","Source text","Translation","Context","Path","Filename"
"1","0","0","","SYSTEM","0000.wav"
"2","1","1","","SYSTEM","0001.wav"
"3","2","2","","SYSTEM","0002.wav"
"4","3","3","","SYSTEM","0003.wav"
"5","4","4","","SYSTEM","0004.wav"
"6","5","5","","SYSTEM","0005.wav"
"7","6","6","","SYSTEM","0006.wav"
"8","7","7","","SYSTEM","0007.wav"
"9","8","8","","SYSTEM","0008.wav"
"10","9","9","","SYSTEM","0009.wav"
"11","10","10","","SYSTEM","0010.wav"
"12","11","11","","SYSTEM","0011.wav"
"13","12","12","","SYSTEM","0012.wav"
"14","13","13","","SYSTEM","0013.wav"
"15","14","14","","SYSTEM","0014.wav"
"16","15","15","","SYSTEM","0015.wav"
"17","16","16","","SYSTEM","0016.wav"
"18","17","17","","SYSTEM","0017.wav"
"19","18","18","","SYSTEM","0018.wav"
"20","19","19","","SYSTEM","0019.wav"
"21","20","20","","SYSTEM","0020.wav"
"22","21","21","","SYSTEM","0021.wav"
"23","22","22","","SYSTEM","0022.wav"
"24","23","23","","SYSTEM","0023.wav"
"25","24","24","","SYSTEM","0024.wav"
"26","25","25","","SYSTEM","0025.wav"
"27","26","26","","SYSTEM","0026.wav"
"28","27","27","","SYSTEM","0027.wav"
"29","28","28","","SYSTEM","0028.wav"
"30","29","29","","SYSTEM","0029.wav"
"31","30","30","","SYSTEM","0030.wav"
"32","31","31","","SYSTEM","0031.wav"
"33","32","32","","SYSTEM","0032.wav"
"34","33","33","","SYSTEM","0033.wav"
"35","34","34","","SYSTEM","0034.wav"
"36","35","35","","SYSTEM","0035.wav"
"37","36","36","","SYSTEM","0036.wav"
"38","37","37","","SYSTEM","0037.wav"
"39","38","38","","SYSTEM","0038.wav"
"40","39","39","","SYSTEM","0039.wav"
"41","40","40","","SYSTEM","0040.wav"
"42","41","41","","SYSTEM","0041.wav"
"43","42","42","","SYSTEM","0042.wav"
"44","43","43","","SYSTEM","0043.wav"
"45","44","44","","SYSTEM","0044.wav"
"46","45","45","","SYSTEM","0045.wav"
"47","46","46","","SYSTEM","0046.wav"
"48","47","47","","SYSTEM","0047.wav"
"49","48","48","","SYSTEM","0048.wav"
"50","49","49","","SYSTEM","0049.wav"
"51","50","50","","SYSTEM","0050.wav"
"52","51","51","","SYSTEM","0051.wav"
"53","52","52","","SYSTEM","0052.wav"
"54","53","53","","SYSTEM","0053.wav"
"55","54","54","","SYSTEM","0054.wav"
"56","55","55","","SYSTEM","0055.wav"
"57","56","56","","SYSTEM","0056.wav"
"58","57","57","","SYSTEM","0057.wav"
"59","58","58","","SYSTEM","0058.wav"
"60","59","59","","SYSTEM","0059.wav"
"61","60","60","","SYSTEM","0060.wav"
"62","61","61","","SYSTEM","0061.wav"
"63","62","62","","SYSTEM","0062.wav"
"64","63","63","","SYSTEM","0063.wav"
"65","64","64","","SYSTEM","0064.wav"
"66","65","65","","SYSTEM","0065.wav"
"67","66","66","","SYSTEM","0066.wav"
"68","67","67","","SYSTEM","0067.wav"
"69","68","68","","SYSTEM","0068.wav"
"70","69","69","","SYSTEM","0069.wav"
"71","70","70","","SYSTEM","0070.wav"
"72","71","71","","SYSTEM","0071.wav"
"73","72","72","","SYSTEM","0072.wav"
"74","73","73","","SYSTEM","0073.wav"
"75","74","74","","SYSTEM","0074.wav"
"76","75","75","","SYSTEM","0075.wav"
"77","76","76","","SYSTEM","0076.wav"
"78","77","77","","SYSTEM","0077.wav"
"79","78","78","","SYSTEM","0078.wav"
"80","79","79","","SYSTEM","0079.wav"
"81","80","80","","SYSTEM","0080.wav"
"82","81","81","","SYSTEM","0081.wav"
"83","82","82","","SYSTEM","0082.wav"
"84","83","83","","SYSTEM","0083.wav"
"85","84","84","","SYSTEM","0084.wav"
"86","85","85","","SYSTEM","0085.wav"
"87","86","86","","SYSTEM","0086.wav"
"88","87","87","","SYSTEM","0087.wav"
"89","88","88","","SYSTEM","0088.wav"
"90","89","89","","SYSTEM","0089.wav"
"91","90","90","","SYSTEM","0090.wav"
"92","91","91","","SYSTEM","0091.wav"
"93","92","92","","SYSTEM","0092.wav"
"94","93","93","","SYSTEM","0093.wav"
"95","94","94","","SYSTEM","0094.wav"
"96","95","95","","SYSTEM","0095.wav"
"97","96","96","","SYSTEM","0096.wav"
"98","97","97","","SYSTEM","0097.wav"
"99","98","98","","SYSTEM","0098.wav"
"100","99","99","","SYSTEM","0099.wav"
"101","100","100","","SYSTEM","0100.wav"
"102","200","200","","SYSTEM","0101.wav"
"103","300","300","","SYSTEM","0102.wav"
"104","400","400","","SYSTEM","0103.wav"
"105","500","500","","SYSTEM","0104.wav"
"106","600","600","","SYSTEM","0105.wav"
"107","700","700","","SYSTEM","0106.wav"
"108","800","800","","SYSTEM","0107.wav"
"109","900","900","","SYSTEM","0108.wav"
"110","тисяча","тисяча","","SYSTEM","0109.wav"
"111","і","і","","SYSTEM","0110.wav"
"112","мінус","мінус","","SYSTEM","0111.wav"
"113","тисяча","тисяча","","SYSTEM","0200.wav"
"114","тисячі","тисячі","","SYSTEM","0201.wav"
"115","тисяч","тисяч","","SYSTEM","0202.wav"
"116","рівно","рівно","","SYSTEM","0165.wav"
"117","і одна десята","і одна десята","","SYSTEM","0166.wav"
"118","і дві десятих","і дві десятих","","SYSTEM","0167.wav"
"119","і три десятих","і три десятих","","SYSTEM","0168.wav"
"120","і чотири десятих","і чотири десятих","","SYSTEM","0169.wav"
"121","і пʼять десятих","і пʼять десятих","","SYSTEM","0170.wav"
"122","і шість десятих","і шість десятих","","SYSTEM","0171.wav"
"123","і сім десятих","і сім десятих","","SYSTEM","0172.wav"
"124","і вісім десятих","і вісім десятих","","SYSTEM","0173.wav"
"125","і девʼять десятих","і девʼять десятих","","SYSTEM","0174.wav"
"126","одна","одна","","SYSTEM","0180.wav"
"127","одинадцять","одинадцять","","SYSTEM","0181.wav"
"128","двадцять одна","двадцять одна","","SYSTEM","0182.wav"
"129","тридцать одна","тридцать одна","","SYSTEM","0183.wav"
"130","сорок одна","сорок одна","","SYSTEM","0184.wav"
"131","пʼятдесят одна","пʼятдесят одна","","SYSTEM","0185.wav"
"132","шістдесят одна","шістдесят одна","","SYSTEM","0186.wav"
"133","сімдесят одна","сімдесят одна","","SYSTEM","0187.wav"
"134","вісімдесят одна","вісімдесят одна","","SYSTEM","0188.wav"
"135","девʼяносто одна","девʼяносто одна","","SYSTEM","0189.wav"
"136","дві","дві","","SYSTEM","0190.wav"
"137","дванадцять","дванадцять","","SYSTEM","0191.wav"
"138","двадцять дві","двадцять дві","","SYSTEM","0192.wav"
"139","тридцять дві","тридцять дві","","SYSTEM","0193.wav"
"140","сорок дві","сорок дві","","SYSTEM","0194.wav"
"141","пʼятдесят дві","пʼятдесят дві","","SYSTEM","0195.wav"
"142","шестьдесят дві","шестьдесят дві","","SYSTEM","0196.wav"
"143","сімдесят дві","сімдесят дві","","SYSTEM","0197.wav"
"144","вісімдесят дві","вісімдесят дві","","SYSTEM","0198.wav"
"145","девʼяносто дві","девʼяносто дві","","SYSTEM","0199.wav"
"146","вольти","вольти","","SYSTEM","volt0.wav"
"147","вольт","вольт","","SYSTEM","volt1.wav"
"148","вольта","вольта","","SYSTEM","volt2.wav"
"149","вольт","вольт","","SYSTEM","volt5.wav"
"150","ампери","ампери","","SYSTEM","amp0.wav"
"151","ампер","ампер","","SYSTEM","amp1.wav"
"152","ампера","ампера","","SYSTEM","amp2.wav"
"153","амперів","амперів","","SYSTEM","amp5.wav"
"154","міліампери","міліампери","","SYSTEM","mamp0.wav"
"155","міліампер","міліампер","","SYSTEM","mamp1.wav"
"156","міліампера","міліампера","","SYSTEM","mamp2.wav"
"157","міліамперів","міліамперів","","SYSTEM","mamp5.wav"
"158","вузлів","вузлів","","SYSTEM","knot0.wav"
"159","вузол","вузол","","SYSTEM","knot1.wav"
"160","вузла","вузла","","SYSTEM","knot2.wav"
"161","вузлів","вузлів","","SYSTEM","knot5.wav"
"162","метри в секунду","метри в секунду","","SYSTEM","mps0.wav"
"163","метр в секунду","метр в секунду","","SYSTEM","mps1.wav"
"164","метра в секунду","метра в секунду","","SYSTEM","mps2.wav"
"165","метрів в секунду","метрів в секунду","","SYSTEM","mps5.wav"
"166","фути в секунду","фути в секунду","","SYSTEM","fps0.wav"
"167","фут в секунду","фут в секунду","","SYSTEM","fps1.wav"
"168","фута в секунду","фута в секунду","","SYSTEM","fps2.wav"
"169","футів в секунду","футів в секунду","","SYSTEM","fps5.wav"
"170","кілометри на годину","кілометри на годину","","SYSTEM","kph0.wav"
"171","кілометр на годину","кілометр на годину","","SYSTEM","kph1.wav"
"172","кілометра на годину","кілометра на годину","","SYSTEM","kph2.wav"
